Fon,French
Hwɛmɛsì wɛ̀ bɔ un dà,J’ai épousé une femme en satisfaisant à la justice.
De nusunnu ɖie,Voici de la sauce de noix de palme.
É d’álɔ nusúnnú zɛ́n mɛ̀,Il a mis la main dans la marmite de sauce.
É kán wɔ̌ bó sún nùsúnnú,Il a trempé la pâte dans la sauce.
E nɔ wún nùsúnnú,On prend de la sauce.
Fɔtɛtɛ nusunnu ɖie,Voici de la sauce d’épinards.
Fevi nusunnu ɖie,Voici de la sauce de gombo.
Gusi nusunnu ɖie,Voici de la sauce de sésame.
Nùsúnnú blakasaa wɛ̀,C’est une sauce simple.
Nùsúnnú ɔ́ cólólwé,La sauce est liquide.
Nusunnu ɖie,Voici de la sauce.
Sin sukpɔ́ ɖò nùsúnnú ɔ́ jí gboò,Il ya trop d’eau sur la sauce.
Yèɖé nùsúnnú ɔ́,Assaisonne la sauce.
É tɔ́n tɔ céké ɖò xó é wá é mɛ̀,Il est sorti sain et sauf de l’affaire.
E wá xwé wùyɛ̀yɛ́ afɔyɛyɛ́,Il est revenu sain et sauf.
Cuku lɔn awajijɛ tɔn,Le chien saute de joie.
É ɖe vo jɛ̀ atín ɖĕvo jí,Il a sauté sur un autre arbre.
E lɔn kpla kɔ nu ye,Ils leur sautent au cou.
E xásá dó kɔ tɔ̀n,Il lui sauta au cou.
E zlɔ́n jɛ̀ agĕ,Il a atterri en sautant.
Mì ná ɖu lan sisɔ kpódó ayoma kpán,Nous mangerons de la viande sautée aux petits oignons.
Sɔ ɔ lɔn agbo aga nu ɖo lɛ,Le cheval saute par-dessus les fossés.
E nɔ ɖu wɛn kpodo wíìn akú kpo,Sa nourriture était faite de sauterelles et de miel sauvage.
"Atinsinsɛn enɛ ɔ jɛ nɛgbe nu ajinanku ɖokpo, bo na do hwlɛn e ɖe gan ɔ, ajinaku ɔ ta afɔ logozo ɖokpo ji","Ce fruit sauvage tomba sur le dos d'un éléphant qui, en se sauvant, piétina une tortue."
Kanlin zunkan mɛ tɔn lɛ nɔ hwla ɖo keze bo nɔ sekpɔ kanlinnyitɛn lɛ hwenuɖe zan ku ɔ,Les animaux sauvages se cachent pendant le jour et s’approchent des fermes quand il fait nuit.
Ðó é na hwlɛn togun tɔn gán sín hwɛ tɔn lɛɛ mɛ,Car c'est lui qui sauvera son peuple de ses péchés.
É ɖe hwɛn mì,Il m’a sauvé.
E ɖeɖɛ mi sín kɛntɔ́ lɛ́’lɔ́ mɛ̀,Il m’a sauvé des mains des ennemis.
E gán,Il est sauvé (de la maladie).
E hɔ́n dó mì,Il s’est sauvé de moi (à mon insu).
E hɔ́n xá mì,Il s’est sauvé avec moi.
Hwlɛ́n mí gán,Sauve-moi.
Mawu ni hwlɛn mi !,Que Dieu nous sauve !
"Nu xɛsi ɖi mi ɔ, na ɖido","Si j’ai peur, je me sauve."
Vi cé hɔ́n bó nɔ́ gbɔ̀n gbĕgbĕ,Mon enfant s’est sauvé et va de-ci de-là.
É yí fánjí,Il est allé dans la savane.
Gbe ɖokpo wa su bɔ e ɖiɖo zunkan ɖaxo mɛ,"Un jour, elle s'en alla bien loin dans la savane."
É ɖó nùnyɔ́ɛ̀ vò ɖé ă,Il n’est pas très savant.
É ɖó nùnywɛ́,Il est savant.
E nyɔ́nŭì,Il est savant.
Gbadé élɔ́ ɔ́ dó tɔ́n,Ce maïs a une saveur agréable.
A nyɔ́ hùn kún à ?,Est-ce que tu sais conduire ?
A túun fɔngbe wlan a ?,Tu sais écrire le fon ?
A tuwun ɖɔ̀ un kó ɖɔ́ nú émí,Tu sais que je te l’ai déjà dit.
Ahóo !,Je ne sais pas !
Ahóo !,Que sais-je ?
E ɖɔ̀ émí kún tuwun ó,Il a dit qu’il ne le sait pas.
É se fongbè à wɛ́ à ?,Est-ce qu’il ne sait pas le fongbé ?
Măwù wɛ́ tuwùn,Dieu seul le sait.
Mɛ̀ !,Tu sais !
Mi na tuun gbadanu,Nous saurons ce soir.
Nà jó nùnywɛ́ cé nú mi,Je vous donnerai mon savoir.
Nu a jlo na tuun nugbo ɔ,"Bon, si tu veux vraiment savoir."
Nyɔ́ hwiɖéé jlɛ́ ɖò yè tɛ́ntín,Prends garde avec eux.
Un ma tuwun nɛ́,Je ne sais pas du tout.
Un nywɛ́ ă,Je ne savais pas.
Un tuun ɖayi a,Je ne savais pas.
Un tuun ɖo un yi wan nu we,Je sais que je t'aime.
Un tuwun,Je sais.
Wă ɖɔ̀ xó ɔ́ xéɖéxéɖé má sè,Bien me dire clairement l'affaire que je sache.
"Zacé ɖɔ̀ Jezú bá ná mɔ́ wɛ̀, ɖó é nywɛ́ ɖɔ̀ é ɖò fínɛ́ ná gbɔ́n wɛ̀","Zacé cherchait à voir Jésus, car il savait qu’il passerait par là."
Aɖi lo ?,Et le savon ?
E mlí aɖĭ,Elle a fait des boules de savon.
Mi má tuùn fí è a xwè ɔ́ nɛ́,Nous ne savons pas où tu vas.
Mĭ tuùn fí è a xwe ɔ́ ă,Nous ne savons pas où tu vas.
Nu gannyii wɛ,C'est un scandale.
Xó nɛ́ ɔ́ d’ábaɖa dó mi wɛ à ?,Cette parole est-elle pour vous une cause de scandale ?
E gbo hwɛ̀ gblulù,On lui a fait des scarifications très longues.
E gbo hwɛ̀ glulù,On lui fait des scarifications très longues.
"Nuwíwá élɔ́ ɔ́, e sixú bló ɖó alɔkpà we jí",Deux schémas de célébration sont possibles.
"Un xa ɖo xojlawema dɔ ""scientifique"" lɛ bi kun yi gbe na o",J'ai lu dans le journal que les scientifiques ne sont pas tous d'accord sur ce sujet.
Nukún tɔ́n nɔ́ tá myɔ nyɛ́nyɛ́nyɛ́,Ses yeux scintillent.
E cí sɛ́nkplɔ́nmɛtɔ́ lɛ́ ɖɔ́hùn ă,Il n’était pas comme les scribes.
Mi yi ba do nú xó ɔ́ hlɛ́nhlɛ́n bó kpɔ́n ɖɔ̀ nùgbó wɛ́ áji,Allez scruter le fond de ces dires attentivement et voyez si c’est vrai.
É ɖò àɖùmá tɛ́ wɛ̀,Il se mord les lèvres.
É húzú jijɔ tɔn à ?,S’est-il corrigé ?
E jó agɔ yi gŭdò,Il s’est reculé.
É nɔ́ mɔ́ éɖéé,Il se voit.
E nɔ nyi Karen,Elle s'appelle Karen.
Gannú ɔ́ ɖúɖú sìn,Le seau laisse couler l'eau.
Gannú ɔ́ tɔ́n,Le seau est percé.
Nya gannú ɔ́ kpɛɖé,Penche un peu le seau.
Nya gannú ɔ́ kpɛɖé,Penchons un peu le seau.
Soo s'ánlɔ̀,L'anse du seau.
Soo sín awà,L'anse du seau.
Agɔnkɛ xuxu,Un coco sec.
E ɖò galí xwí wɛ̀,Il mange du gari sec.
É xú céké céké,Il est bien sec.
Kpó ɔ́ wɛ́n kawùn,Le bâton s’est cassé avec un bruit sec.
Tɔ ɔ́ mɛ̀,La rivière est à sec.
Tɔ ɔ xú,La rivière est à sec.
Un xɔ̀ galí ɖ’axi mὲ b’έ ɖò yéɖéyéɖé,J’ai acheté du gari au marché et il est très sec.
Ye nɔ ɖo bibɛ hwenuɖe ye xu ɔ,Elles sont ramassées quand elles sont sèches.
Zunkan xuxu lɛɖo wan ɖagbe na jɔhɔn ɔ wɛ,Les herbes sèches parfument l’air.
E xɔ ayoma xuxu,Il achète des oignons séchés.
Fí tɛ́ a na xyá avɔ ɖè ?,Où mettras-tu le linge à sécher ?
Hwevɔ xu agbade lɛ,Le soleil a séché le maïs.
Jɔhɔn hɛ̀n acɔ ce hlɛ́n,Le vent a séché en partie mon pagne.
Akú ɖó,C’est la sécheresse.
"Jì má jà à ɔ́, aku ná ɖó","S’il ne pleut pas, il y a aura la sécheresse."
Asi bɔd'éwú wɛ́ à ?,Est-ce ta seconde femme ?
Cɛju ɖokpo,Une seconde.
Nu nukun hwihwe afɔtɔn,Pendant quinze secondes.
E bɔ̀ dó wŭ cè,Il m'a secondé.
E ɖò telibɔ́ línfín jo wɛ̀,Elle est en train de secouer de la farine d’igname.
E gbíjɔ́ gbadé’tí ɔ́,Il a secoué le sac de maïs.
E xúxú ta,Il a secoué la tête.
E xúxú yĕ,Il les a secoués.
Xò wɔ̆,Secouer la pâte pour qu'elle adopte la forme du récipient.
Cáxóxooó ! Ajotɔ́ ɖíè !,Au secours ! Au voleur !
E wá gɔ́ so nú mì,Il est venu à mon secours.
É xo ɖɛ̀ dó vodún gɔ́n,Il a demandé le secours du vodoun.
Mi wá d'álɔ mì,Au secours.
Un byɔ́ alɔdó è,Je lui ai demandé secours.
Un byɔ́ ɛ̀ alɔdó,Je lui ai demandé secours.
Un byɔ́ tenɔkpɔ́nmɛ Măwŭ tɔ̀n,Je demande le secours de Dieu.
Un ɖò Măwŭ gbe xwɛ̀,J’implore le secours de Dieu.
É ɖɔ xó nú mí ɖò nù glɔ́,Il m’a parlé en secret.
E ɖò fí hwláhwlá,Il est ici en secret.
É ná donu tɔn we à ?,Est-ce qu’il t’a donné son secret ?
Kpáxó wɛ̀,C’est une parole à dire en secret.
"Nùvɛ́nŭ wɛ̀, e nɔ ɖɔ̀ ă","C’est un secret, on ne peut le révéler."
Un na sɔ́ xomɛ ce jó nú wè,Je vais te livrer mon secret.
"Xó nɛ́ ɔ́ nyí xó hwláhwlá ă, nŭ ɖò wèjí wɛ̀","Cette affaire n’est pas une affaire secrète, c’est une chose publique."
Ayi ce j’ayĭ,Ma vie est en sécurité.
"Gbɛtɔ bĭ ɔ, togunɖemɛ wɛ é ɖe. Enɛ ɔ wu o, nuɖe na do tagba n'i ɖo akwɛlinu, lanmɛ na nɔ ganji k kpodo nunywɛ na ɖo kpo sin alinu ă : nu enɛ ɔ wɛ na zɔn bɔ é na tɔ́n nyi. Amɔ kan e van wɛ to ɔ ɖe e kpodo nuwaɖokpo e ɖo toɖeetoɖee kpan sin tɛntin gbɔn tuto",nu enɛ ɔ wɛ na zɔn bɔ é na tɔ́n nyi. Amɔ kan e van wɛ to ɔ ɖe e kpodo nuwaɖokpo e ɖo toɖeetoɖee kpan sin tɛntin gbɔn tuto
A lŭ mì,Tu m’as séduit.
E nɔ́ dɔn mɛ,Il est séduisant.
E sɔ́ bò dó lú vì ɔ̀ ná bó dá ɛ̀,Il a fait un gri-gri pour séduire la fille et l’épouser.
"Ee Jozɛfu fɔ́n sín amlɔ mɛ ɔ, é bló ɖó nŭ e wɛnsagun Aklunɔ tɔn ɔ ɖɔ n’i ɔ jí","Une fois réveillé, Joseph fit comme l'Ange du Seigneur lui avait prescrit."
Nyɛ wɛ nyí Aklúnɔ Măwŭ mitɔ̀n,Je suis le Seigneur votre Dieu.
E ɖò anɔ gbágbá ɖ’akɔ́n mɛ̀,Elle a de beaux seins.
É hwlán anɔkwín,Elle a des seins qui commencent à pousser.
Vì cé kó wínnyá bĭ bɔ̀ anɔ tɔn tɔ́n,Ma fille est déjà grande et ses seins ont poussé.
Sunnu ɖe ma ɖo nuɖe na wa a lɛ nɔ wa ci e gɔn,Des hommes qui n’ont rien à faire et qui viennent séjourner chez elles.
Un nɔ̀ Kútɔ́nú xɔ̀ azăn yɔywɛɖé,J’ai séjourné quelques jours à Cotonou.
Un xɔ̀ azăn yɔywɛɖé ɖò Kútɔ́nú,J'ai séjourné quelque temps à Cotonou.
Bo na xɔ jɛ,Pour acheter du sel.
E ɖúɖɔ́ jɛ̀,Il a pris du sel avec le doigt pour le manger.
Jɛ ɖ'é mɛ̀ ă,Il n'y a pas de sel dedans.
Jɛ hú gàn nùsúnnú ɔ́ mɛ̀,Il y a trop de sel dans la sauce.
Yi xɔ jɛ,Va acheter du sel.
E nyí ce ɖóɖó wɛ́ ɔ́,Selon moi.
Lĕe nyɛ lin gbɔn e ɔ́,Selon moi.
Nù dò hwénú,Le temps des semailles.
Vodungbegblamɛ ɖokpo,Une semaine.
Vodúngbégblámɛ̀ é wá yí ɔ́,La semaine dernière.
Azăn kó nukún we gbè,Dans trois semaines.
Un mɔ̀ nŭ mɔ̀húnkɔ gbeɖé ă,Je n'ai jamais vu une chose semblable.
E blo mɛ ɖe se ɔ ɖɔhun,Elle faisait semblant d'écouter.
E bló mɛ ma mɔ mi ɖɔhùn bo dín,Il a fait semblant de ne pas me voir.
É xɔ̀ mɔ̆to bo jɛ̀ nyĭ,Il a acheté un semblant de voiture pour se faire un nom.
É cí ɖì a kún sɔ́ túwún mí ó,Il semble que tu ne me reconnais plus.
Un ɖi ɖɔ̀ é kó yì,Il me semble qu'il est parti.
Dan nɔ do nu nu mɛ,Le dieu sème la richesse.
E ɖò hwinyahwinya dó hɛ̀nnú ɔ́ mɛ́ wɛ̀,Il sème la zizanie dans la famille.
E hɛ̀n fí ɔ́ ɖónyà,Il a semé du désordre ici.
É hɛ̀n to ɔ́ dán,Il a semé l’agitation dans le pays.
"Kpɛntín énɛ́ lɛ́, nùdùdó wɛ̀","Ces papayers, ils ont été semés."
Mi dò ní kpítí,Semez dru.
Nukún tɛ́ a ɖò dìdó wɛ̀ ?,Que sèmes-tu ?
Ye na do nu ɖo glemɛ,Ils sèmeront le champ.
Dagbó mìtɔ́n lɛ́ kɔ́n nɔ́ mɔ̀ tínmɛ́ ɖé nú kú à ?,Nos ancêtres ont-ils trouvé un sens à la mort ?
E tuwùn fí è xó ɔ́ nyi ta é ă,Cela n'a pas de sens.
Tínmɛ́ tɔ́n ɖíè,En voici le sens.
Awu jɛ̀ agbo kɔ̀ bɔ̀ klɔ́nklɔ́n gló,"J’y suis, j’y reste."
E nɔ syɔ́ amì bó ná dó bló amì hunhwɛn ná,"On fait cuire l’huile une deuxième fois pour préparer l’huile ""amì huhwein""."
"Mɔ̆ wɛ̀ ă, aligbó wɛ̀","Ce n’est pas un sentier, c’est une route."
A nɔ hwɛ́n azizɔ,Tu sens la fumée.
É ɖè wàn flíflí,Cela sent très bon.
É hwɛ́n wăn ɖagbe,Cela sent bon.
Gbe ɖokpo wa su bɔ e mɔ ku tɔn se ɖo bo ylɔ vi tɔn lɛ bo ɖɔ nu ye ɖɔ,"Un jour, sentant la mort venir, il appela ses enfants et leur dit."
Wàn tɔ́n nyɔ́,Cela sent bon.
Wàn tɔ́n nyɔ́ sè ă,Il ne sent pas bon.
Wù yá mì ă,Je ne me sens pas très bien.
Yè nɔ́ jɛ̀ kpɔ́ ă,Ils ne peuvent se sentir.
Yè nɔ́ mɔ̀ yèɖé gbɔ̀ ă,Ils ne peuvent pas se sentir.
Awu élɔ́ jɛ we din,Ce costume te sied beaucoup.
Đa a bla ɔ́ jɛ́ wè,Cette coiffure te sied bien.
E jɛ́ mì ganjí,Cela me sied très bien.
E jɛ́ wè,Cela te sied.
E nyi nu bo j'acɔ,Ca lui sied bien.
Yĕ zɔ̀n kpɔ́ vovò,Ils marchèrent en groupes séparés.
Un jló ná mɔ́ mi ɖokpó ɖokpó,Je veux vous voir séparément.
Un jló ná mɔ́ mi vokán vokán,Je veux vous voir séparément.
Đè nùkún ɖagbe ɖó vo nú nyanya ɔ́,Sépare le bon grain du mauvais.
É ɖà hun nú yĕ,Il les a séparés.
É ɖá yĕ,Il les a séparés.
"Mi ɖó gbè kpɔ́, mi ma nɔ̀ vokán vokán ó",Ne restez pas séparés.
Mì nà klán ɖò fí,Nous allons nous séparer ici.
Un hɛ̀n yè klán,Je les ai séparés.
E bɛ́ sín gan tɛ́nwe mɛ̀,Il a commencé à sept heures.
E ɖo xwe tɛnwe,Elle a sept ans.
Azăn wegɔ́ é ɖò xwe sun tɛ́nnɛgɔ́ ɔ́ mɛ́ é,Le deux septembre.
Zosunɖo azan gban,Septembre a trente jours.
Xwe sin sun tenwegɔ mɛ,Le septième mois de l'année.
É nɔ́ w’azɔ̀ dó wà heelú tɔ̀n,Il travaille sérieusement.
Yĕ ɖ’àzɔ̀ wú kútúkútú,Ils sont sérieusement au travail.
Ayìhúndídá wɛ̀ ă,C’est sérieux.
Azɔn gbɛ́ sìn,La maladie est devenue sérieuse.
"Dàwé nɛ́ ɔ́, mɛ ɖagbe wɛ un vɛ dó, acéè ajotɔ́ wɛ̀","Cet homme, je le croyais sérieux, or c’était un voleur."
E kéya nú xó ɔ́,Il a pris l'affaire au sérieux.
"Nŭ un ɖɔ̀ bó dó xò dafɛ́ ná ɔ́, é sɔ́ dó ylɔ́ nŭjɔ̀nŭ","Ce que je disais en plaisantant, il l'a pris au sérieux."
Nŭjɔ̀nŭ wɛ̀,C'est sérieux.
Nùkíkó wɛ̀ ă,C’est sérieux.
Nùkúkó wɛ̀ ă,C’est sérieux.
E xwlé Măwŭ ɖò nùvú támɛ̀,Il a fait un faux serment devant Dieu.
Cɔ́ hwiɖéé dó dan nɛ́ ɔ́,Méfie-toi de ce serpent.
Dàn ɔ̀ bló duwùn bó dín,Le serpent a fait une longue trace et est passé.
Dan ɔ́ sun anyŭ,Le serpent a mué.
Hɛn ayi towe dó dan nɛ́ ɔ́ wú,Méfie-toi de ce serpent.
Mi kp’ayi dó dàn nɛ́ ɔ́,Méfiez-vous de ce serpent-là.
Nùɖé sɔ́ nu ì,Un serpent l’a piqué.
A wlán nŭ kpítíkpítí,Tu as écrit trop serré.
Alɔganví élɔ́ xá mì,Cet anneau me serre.
Awu élɔ́ xá wè,Cet habit te serre.
Awu towe xá wé dín,Ton habit te serre trop fort.
Bɔ xɔntɔn tɔn n'alɔ ɛ,Et son ami veut lui serrer la main.
E nyɔ kàn dó kɔ n’í,Il lui a serré la corde au cou.
E sìn gojiblánú tɔ̀n,Il a serré sa ceinture.
Gbadé ɔ́ kpítí dín,Le maïs est semé trop serré.
Mi ɖo gbe do n'i wɛ kpodo alɔ kpo,Nous lui serrons la main.
Mi dò ní kpítí,Semez serré.
Mì ján,Nous sommes serrés les uns contre les autres.
Mi sɛ bɔ dó miɖéé wú,Serrez-vous.
"Nyaɖe ɖu gan bɔ xɔntɔn ton n'alɔ ɛ. E ɖɔ : ""Xoxo tɔn vo, din tɔn vo""","""Xoxo tɔn vo, din tɔn vo"" "
Xɔntɔn lɛ kpe bo ɖo alɔ na e ɖe wɛ,Les amis se rencontrent et se serrent la main.
Cheryl ɔ devi wɛ e nyi ɖo nuɖutɛn tuwuntuwun ɖokpo,Cheryl est serveuse dans un restaurant bien connu.
E nɔ́ gbɛ́ nyɔ̆,Il n'est pas serviable.
E nɔ́ sɛn mɛ ganjí,Il est très serviable.
E gbɛ́ nyɔ̀ nú nɔ tɔ̀n,Il a refusé de rendre service à sa mère.
E nɔ w’azɔ ɖayi ɖo azɔxwe elɔ,Il travaillait dans ce service.
Mi w’azɔ elɔ n’i cobɔ e na se xo mitɔn,Rendez-lui ce service avant qu'il ne vous écoute.
Un gbɛ́ nyɔ̀ nú nɔ cè,J’ai refusé de rendre service à ma mère.
Un ná yi azɔmɛ sɔ,J’irai au service demain.
Wusunsunnu lo ?,Et la serviette ?
A nyɔ zán à ?,Sais-tu t'en servir ?
Afɔ̀ ɖ'àsí cè ă,Je ne puis me servir de mes pieds.
E d'alɔ mí tawùn,Cela m'a bien servi.
É gú wè,Cela ne t’a servi à rien.
E ná xò flo go ɖò wŭ tɔ̀n ă,Cela ne servira à rien.
É sɔ́ nyí nuɖé wá nú ă,Cela ne sert plus à rien.
Mi nɔ xwe do Mawu sɛ lɛ,Servez Dieu de toute votre âme.
Nyɛ ɔ́ xwè mɔ̀kpán ɖíe un ko ɖò sinsɛn we wɛ̀,Voilà tant et tant d’années que je te sers.
"Sɔ ɖagbe, etɛ un ka sixu blo nu we ?","Bon cheval, puis-je te servir ?"
Un jló ná sɛ̀n éyɛ́ ɖókpó à ?,Suis-je décidé à ne servir que lui seul ?
Vodún tɛ́ a nɔ sɛ̀n ?,Quel est le vodoun que tu sers ?
Wa nu nu mɛ,Servi.
Ye wá gɔ́ alɔ n’i,Ils sont venus le servir.
Yi ba sin nú yĕ,Va leur servir de l'eau.
Ðɔ̀ xó Aklúnɔ̀ ɖó devi tówé ɖò tó ɖó wé wɛ̀,"Parle, Seigneur, car ton serviteur écoute."
A sè wìnní tɔ́n à ?,As-tu de ses nouvelles ?
Awii tɔn lɛ,Ses chats.
Vi tɔn lɛ,Ses petits.
E ɖò hɔnlihɛ́nnú,Il est sur le seuil.
E ɖò kpekán jí,Il est sur le seuil.
A zɔ̀n afɔ ɖokpó jí ă,Tu n’as pas marché sur un seul pied.
"Ayihɔntɔngbe ɔ e byɔ azɔxɔ mɛ, e yi ɖokpo nɔ bo fin nuwlannu bo tɔn bɔ mɛ ti mɔ ɛ ă","Le lendemain, il entra seul en classe, vola un crayon, et sortit sans être vu."
Azɔ̀n ɖokpó,Une seule fois.
Blŏ avadee ɖokpó nú papá ná kpɔ́n,Fais-le tenir tout seul debout pour que papa voit.
E byɔ azɔmɛ eyɛ ɖokponɔ,Il entra seul en classe.
E ɖò é ɖókpɔ́nɔ́,Il est seul.
E ɖò wɔ̀ cán wɛ̀,Il mange la pâte toute seule.
É ɖokpó jɛ́n un mɔ ɖò fínɛ́,C’est lui seul que j’ai vu là.
É jó vì ɔ́ ɖokpónɔ́ dó nyi ayimlɔ́mlɔ́ ɖò xɔ̀ ɔ́ mɛ̀,Elle laissa l’enfant seul couché dans la case.
E nɔ́ nɔ̀ éɖókpónɔ́,Il vit seul.
Gbɛ̀ wɛ́ tuwùn,Dieu seul le sait.
Gbɛtɔ́ ɖokpó sìxú ná gbɛ mɛ à ?,Une seule personne peut-elle donner la vie ?
Gle tɔn jɛ́n nɔ́ ná nùɖúɖú ì,Seul son champ le nourrit.
Hwi ɖokpónɔ́ ná sixú wá yí à ?,Penses-tu pouvoir y aller tout seul ?
Hwi kɛ́ɖɛ́ wɛ́ nyɔ́,Toi seul est bon.
Măwù ɖokpó jɛ́n tíìn,Il n’y a qu’un seul Dieu.
Mawu kɛɖɛ wɛ nɔ na lanmɛ,Dieu seul donne la santé.
Mì ɖòɖónɔ̀,Nous seuls.
Nu ɖokpo ɖe ye tuun bɔ nɔ wa n’ɛ sin,C'est la seule chose qu’elles savent leur faire
Nùɖuɖu kɛɖɛ wɛ gbɛtɔ́ nɔ ɖu bo nɔ́ nɔ̀ gbɛ̀ ă,Ce n'est pas de pain seul que vivra l'homme.
Un ɖo nyɛ ɖokpo nɔ nyi nɔ sin hu do,J'ai besoin d'être seul.
Xolólo wɛ un ɖè,Je suis seul.
Din tlóló w'ɛ́ bɛ́,Cela vient seulement de commencer.
"Đo azowatɔ 250 mɛ, mɛ ko atɔɔn nukun atɔn jɛ nyi nyɔnu","Sur deux cent cinquante employés, il y a seulement vingt-huit femmes."
E ba na jlo e kpowun ă,Il ne voulait pas seulement lui plaire.
"E ya kpowun ɔ, e ylɔ zocitɔ lɛ","Après seulement, il a appelé les pompiers."
Enyí fínɛ́ wɛ̀ wɛ̀ é kó ɖ'é ɔ́,Si seulement il était là.
Fínɛ́ wɛ̀ wɛ̀ é kó ɖ'é ɔ́,Si seulement il était là.
Nu a ɔ ba na se xo ce ɔ,Si seulement tu voulais bien m'écouter !
Nù jɛ́n un ɖɔ dó wè,Je viens seulement te saluer.
"Nu un tuun nuɖe we ɔ, e ɖɔ !","Si seulement je savais ce que c'était, dit-il !"
Sɔ jɛn mi wa,Nous sommes arrivés seulement hier.
Un jan do alɔ nu we kpowun wɛ,J'essaie seulement de t'aider.
Xwe we jɛ́n wɛ́ à ?,Est-ce deux ans seulement ?
Xwe afɔtɔn nukun atɔn jɛn Johnny kpɛvi ɔ ɖo,Le petit Johnny a seulement dix-huit mois.
Ye nɔ kple yeɖee zanmɛ kɛɖɛ,Elles se réunissent seulement le soir.
Zemíján (a na ze mí ján),Tu me prendras seulement (Nom des motos-taxis).
Bo su xo ɖɔ ta tɔn,Et le gronda sévèrement.
E ylɔ e bo su xo ɖɔ ta tɔn bo ɖɔ n'i ɖɔ,"Il l'appela, le gronda sévèrement et lui dit."
Un ko ɖè anɔ́ ă,Je n’étais pas encore sevré.
Vì ce kó ɖì ă,Mon enfant n’a pas encore assez grandi pour être sevré.
Atɔ́ wé yɔmɛ̀,Sur le sexe de ton père.
Nɔ we yɔmɛ̀,Dans le sexe de ta mère.
E sɔ́ nyɔ́nu ɔ́ vlá,Il a eu un rapport sexuel avec elle.
É zun mɛ nɔ yomɛ̀,Il a insulté la mère de quelqu’un dans les parties sexuelles.
Afi nú a wă,Sauf si tu viens.
E ɖi ga sɔ mì ă,Il n’est pas si grand que moi.
É ɖò Măwù’sí,Si Dieu le veut.
É kán byɔ́ ɖɔ̀ hwi bló à cé jí,Il a demandé si tu ne l’as pas fait.
É kán byɔ́ mí ɖɔ̀ tɔ́ émítɔ́n kú ájí,Il m’a demandé si son père est mort.
E nyɔ́ sɔ̀ mɔ̆ ă,Ce n'est pas si bon que cela.
Kɔ́lyásó má sɔ̀ gà só,La termitière n’est pas si haute que la montagne.
Ko... wɛ ɔ…,Si c'était…
Mì nà bló ă. – Mi na bló hŭn !,"Nous ne le ferons pas. - Si, vous le ferez !"
Myɔɖɛ ɔ nu ɖagbe ɖe ka wɛ,Et la flamme est si belle.
Nu ma jawe a…,Si je n'arrive pas…
Wiimi ka nyɔ tawun mɛ,Oh ! Le miel est si bon.
Zinkpo ɔ́ xo tò,Le siège a du jeu.
Étɔ́n ɖíè,Voici le sien.
Etɔn wɛ,C'est le sien.
Eyɛtɔn wɛ,C'est le sien.
Xwé cé sɔ́ xwé tɔ̀n,Ma maison touche la sienne.
Nu un gbɔjɛ gudo ɔ na yi,J'irai après avoir fait la sieste.
E kwín kwín,Il a sifflé.
Xɛvi ɔ ɖo kpɛn kun wɛ,L’oiseau siffle.
É mì alɔ n’í,Il lui a fait signe de la main.
É mì nukún n’í,Il lui a fait signe des yeux.
É mì wun n’í,Il lui a fait signe des yeux.
É nyɛ́ awɔnlín dó ta nú mì,Il m’a fait un signe de dédain avec le nez.
"Un ma nyɔ́ Fú, un ma nyɔ́ Gbè",Je n’y connais rien.
Zĕ alɔ̀ nú hùn ɔ́,Fais signe à la voiture.
D'ălɔ mɛ̀ ɖò fí,Signe ici.
Tínmɛ́ tɛ́ xwè é nɛ́ ɔ́ ká ɖó bɔ̀ a tuun ?,Qu’est-ce que cela signifie pour toi ?
Mi n’abɔ̀ tóó bó sè,Faites silence et écoutez.
N’abɔέ !,Garde le silence !
N’abɔέ !,Silence !
Un yi wan nu abɔnunɔ,J'aime le silence.
Yé bi ni n’abɔ nu gán ɔ ni ɖɔ xó,Qu’ils gardent tous le silence afin de prendre la parole.
Yè nábɔɛ́ tóó bó ná dó sà xó tɔ́n ɖíɖɔ́ lɛ́,Ils firent silence pour l’entendre parler.
Yè xwɛ́ tótó,Ils sont restés très silencieux.
Xɛ wá cyán nùkún é jɛ̀ hwɛnxlo mɛ lɛ́ é ɖù,L’oiseau est venu choisir les graines qui sont tombées entre les sillons.
Gbɛtɔ́ haya wɛ̀,C’est un homme simple.
E gbɔ̀ kpowùn,Il a simplement manqué le but.
"Sa ɖi wɛ a ɖe à ? - Ɛ́ɛ́n, un ɖo sa ɖi wɛ kpowùn","Tu te promènes ? - Oui, je suis simplement en promenade."
Un ɖò sa ɖi wɛ̀ kpowùn,Je me promène simplement.
Un vɛ́ sín gbɛtɔ́à ɖagbe ɖé wɛ́ sín. Adiì ! Ajotɔ́ kpowùn !,Je le croyais honnête homme. Mais hélas ! C’était tout simplement un voleur !
"Yè nɔ́ ɖù nù kpó xomɛhunhun kpó, ma kéya nú nùɖè",Ils prennent leur nourriture avec joie et simplicité de coeur.
E nɔ́ vlέ mì,Il me singe.
Vi lɛ e ɖo cica nu ato lɛ wɛ,Les enfants se moquent des singes.
"E má kó nyí mɔ̀ à ɔ́, na ɖɔ́ nú mi ɖɔ̀","Sinon, je vous l’aurais dit."
É mà nyi mà à ɔ́,Sinon.
